text,topic,set,label,MACE-P,stance_WA,stance_WA_conf
a multi-party system would introduce new ideas,We should adopt a multi-party system,train,0.894703,0.870530821,1,1
"a multi-party system would lead to invalid elections, with no one winning the majority of votes, thus no one wins",We should adopt a multi-party system,train,0.881089748,0.577434428,-1,1
A multi-party system would never get anything done as it would be nearly impossible for all of them to come into agreement about anything.,We should adopt a multi-party system,train,0.76275425,0.84375254,-1,0.901630109
a multi-party system would only lead to in fighting and less getting done.,We should adopt a multi-party system,train,0.797689263,0.831612904,-1,1
"a multi-party system would pollute the polls.  there would be too many options, meaning none would get the full vote they deserve or need.",We should adopt a multi-party system,train,0.817690101,0.54197249,-1,1
A multiparty system would require a complete overhaul of our democratic system.,We should adopt a multi-party system,train,0.872383127,0.810221226,-1,0.613538235
a multi-party system would ruin the country.,We should adopt a multi-party system,train,0.491597239,0.001902021,-1,1
a multi-party would not work in some countries where there is a monarchy and we should not interfere with stable regimes or try to impose our ideas on others.,We should adopt a multi-party system,train,0.880123458,0.560984675,-1,0.898127924
a mult-party system makes it too confusing for voters to pick candidates if they each have good platforms,We should adopt a multi-party system,train,0.709754594,0.562315769,-1,1
a new system would bring new life and create options,We should adopt a multi-party system,train,0.461168863,0.001525191,1,1
a nuclear free world would ensure humanities survival,We should fight for the abolition of nuclear weapons,train,0.696947013,0.378049128,1,0.903976234
"a nuclear war would kill everyone and everything on the whole planet, the whole human race would be wiped out, there is no way we would ever come back.",We should fight for the abolition of nuclear weapons,train,0.766533208,0.311613054,1,1
a one party system is a dictatorship.  russia under communism was a one party system. all people must follow the governments position without an opposing view.,We should adopt a multi-party system,train,0.732322008,0.042573559,1,0.898138046
"a parent is suppose to love a child no matter they are male or female, the natural way of determination, and sex selection makes children commodities instead of miracles.",We should legalize sex selection,train,0.66292921,0.121096771,-1,1
a parent knows best what is good for their kid,Homeschooling should be banned,train,0.586731199,0.010378729,-1,0.831465778
a parent knows their child better than anyone else and can personalize their teaching to that childs personality,Homeschooling should be banned,train,0.886297916,0.949235314,-1,1
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide should be a criminal offence,train,0.604158949,0.259449173,-1,0.910393298
a person could be tempted to commit a crime they would not otherwise have done if faced with entrapment practices.,Entrapment should be legalized,train,0.826342973,0.589286598,-1,0.815328974
a person has a right to state his opinion about how he feels about his country,We should prohibit flag burning,train,0.869753684,0.833258708,-1,0.92899588
a person has the right to choose cosmetic surgery if they want to and they should not be prevented from doing so.,We should ban cosmetic surgery,train,0.751026656,0.328134217,-1,1
"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",Assisted suicide should be a criminal offence,train,0.890631196,0.920449898,-1,1
"A person has to earn money in order support himself/herself. For some, there are no viable alternatives to prostitution. Arresting someone for just trying to survive is unjust.",We should legalize prostitution,train,0.674088216,0.132226148,1,1
a person is either male or female unless born hermaphrodite so pandering to people who have decided to be gender-neutral is another example of the world gone mad.,We should adopt gender-neutral language,train,0.344633451,0.000134477,-1,0.811871636
a person needs to be able to choose to work as long as they are well enough to do so.,We should end mandatory retirement,train,0.863383353,0.922385973,1,1
"a person or business has a right to profit or use their own invention, idea, process etc without fearing someone stealing it.",We should abolish intellectual property rights,train,0.871600783,0.89475838,-1,1
a person should be able to bear arms to protect themselves and anyone around them,We should abolish the right to keep and bear arms,train,0.398813273,0.080294178,-1,1
a person should be able to choose if they want to remain a virgin without persecution.,The vow of celibacy should be abandoned,train,0.570609946,0.006070527,-1,0.696954155
a person should be able to choose who they want to spend their life with,We should legalize polygamy,train,0.51149119,0.01915452,1,1
a person should be allowed to choose a natural approach to curing their disease.  especially one that has existed since the 1700's.,Homeopathy brings more harm than good,train,0.731694313,0.244315353,-1,1
a person should be allowed to choose what happens to their bodies,We should ban cosmetic surgery for minors,train,0.911951651,0.970656159,-1,1
a person should decide what to do with their bodies not the government. if they desire to seek alternative medicine they should be free to do so,We should ban naturopathy,train,0.831858851,0.631405264,-1,1
a person should have the dignity to choose how they die,Assisted suicide should be a criminal offence,train,0.921720042,0.782977717,-1,1
a person should have the right to be able to choose if they want to live or die,Assisted suicide should be a criminal offence,train,0.616712147,0.078370879,-1,1
a person should have the right to die on their own terms,Assisted suicide should be a criminal offence,train,0.864893545,0.413649431,-1,0.901588035
"a person should not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide should be a criminal offence,train,0.627602473,0.378713647,-1,1
a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain.,We should abolish intellectual property rights,train,1,0.74012036,-1,0.801940805
a person who does a great job deserves to get extra income,We should limit executive compensation,train,0.440552536,0.058868709,-1,1
"a person who is terminally ill and suffering should be given the right to end his suffering, under medical supervision.",Assisted suicide should be a criminal offence,train,0.811038703,0.871048742,-1,0.927850398
a person who receives a vocational education earns less over his or her lifetime than someone with a college degree.,We should subsidize vocational education,train,0.465574198,0.073373701,-1,0.904523047
a person's education should be the responsibility of themselves,We should subsidize student loans,train,0.661939315,0.077158212,-1,0.787461683
a persons identity is based on their gender and it should be acknowledged or it could prove offensive.,We should adopt gender-neutral language,train,0.390906011,0.0017735,-1,0.706207752
a person's value should not be based on a number.  just because you reach a certain age does not mean you do not want or need to work.  mandatory retirement hurts elderly workers.,We should end mandatory retirement,train,0.814907669,0.408737575,1,1
a piece of paper does not keep people together,We should abandon marriage,train,0.541369958,0.004946935,1,0.890538851
a poll shows that more than 90% of the people are in support of a multi-party system in the usa.,We should adopt a multi-party system,train,0.728512315,0.358175905,1,1
a priest chooses to make a vow to god to be celibate.  he is not forced.  if he chooses to become a priest he makes this vow.  we should not try to take this away from becoming a priest.,The vow of celibacy should be abandoned,train,0.650541542,0.326624757,-1,1
a prisoner camp should be based in the us so it can be fully governed by american laws.,We should close Guantanamo Bay detention camp,train,0.567800111,0.006416511,1,0.899230755
"a probable history of criminal activity is not evidence that it has taken place, and entrapment is by definition encouraging criminal activity, perhaps where none would otherwise take place.",Entrapment should be legalized,train,0.92193974,0.797647349,-1,0.806839317
a range of opinions may be better than  facts.,We should limit judicial activism,train,0.392286786,7.16E-05,-1,0.826240301
a research carried out on a selected group of unmarried and divorced women found out that they preferred a lone life than an abusive marriage.,We should abandon marriage,train,0.528664846,0.004080969,1,1
a safe space does not permit discussion on anything that might inform uneducated people why their views are wrong,We should abolish safe spaces,train,0.892167944,0.576760256,1,0.766472624
a safe space is a great place for youth to hang out so that they are not in dangerous places.,We should abolish safe spaces,train,0.645593292,0.341311724,-1,1
a safe space is only necessary if students aren't taught proper behavior,We should abolish safe spaces,train,0.456152001,3.63E-05,1,0.805152361
a safe space might mean the difference between coping and not coping with mental health.,We should abolish safe spaces,train,0.615490144,0.250001167,-1,0.605007672
"a sick person should be allowed to try anything they want, long as it's legal, that claims it will help them with their ailment.",We should ban naturopathy,train,0.8308699,0.755624619,-1,1
a single judge cannot be granted free rein to bypass laws borne from democratic process,We should limit judicial activism,train,0.876359875,0.995667521,1,1
a society should help the most vulnerable of us,We should subsidize stay-at-home dads,train,0.378825477,0.000808653,1,0.7999212
a society shouldn't be responsible for the decisions of an individual,We should subsidize stay-at-home dads,train,0.805914164,0.847250891,-1,1
a song or writing are works of art and their creators should benefit from  them,We should abolish intellectual property rights,train,0.686693017,0.257015919,-1,1
A state that outlaws murder cannot then turn around and murder prisoners in the name of the law. It is perverse and unjust.,We should abolish capital punishment,train,0.741187872,0.977550325,1,1
a stay at home dad does so by choice. taxpayers shouldn't be forced to pay for other people's expenses because someone decided they didn't want to get a job.,We should subsidize stay-at-home dads,train,0.924105642,0.974445451,-1,1
a student does not have the resources to pay for the high cost of college,We should subsidize student loans,train,0.765590936,0.868200005,1,1
a student loan is a loan that the person chose to take out.  there's no reason to offer a subsidy for them any more than any other type of loan.,We should subsidize student loans,train,0.733882808,0.560504372,-1,1
"a study comparing more than 22,000 former foster children with their age-matched peers found that the former group had  higher risk of  suicide attempts, risk of psychiatric disorders, and excess risks for psychosis and depression",Foster care brings more harm than good,train,1,0.997513524,1,1
"A surgeon would never agree to operate on a really young child or when it's dangerous, so the only kid's getting cosmetic surgery are those who are in their late teens and understand the outcomes.",We should ban cosmetic surgery for minors,train,0.434810062,0.000900891,-1,0.686846707
a surrogate carrying a baby could try to keep it since they gave birth to it.,Surrogacy should be banned,train,0.613191308,0.084822249,1,0.896633775
a surrogate will often choose to carry a child for someone else if they are unable to get work,Surrogacy should be banned,train,0.463984971,0.001347336,-1,0.610262521
a system of compulsory voting would mean that politicians would have to consider the needs of the whole electorate rather than just those who turn out to vote,We should introduce compulsory voting,train,0.914438032,0.97053363,1,0.965133008
A system that fires the competent along with the incompetent solely because of age is irrational and cruel,We should end mandatory retirement,train,0.756676821,0.96931628,1,1
a talented child should be able to pursue their dreams and help make a story come to life.,We should ban the use of child actors,train,0.734683823,0.543294494,-1,1
"a teen's body sometimes causes great distress, such as small breasts, exacerbated by bullying, teasing etc so cosmetic surgery could relieve large amounts of stress and unhappiness from some teenager's lives",We should ban cosmetic surgery for minors,train,0.656898482,0.226468351,-1,1
a telemarketing ban violates the first amendment rights of the telemarketer.,We should ban telemarketing,train,0.819821691,0.492331625,-1,0.893057544
A terrorist group with a nuclear weapon could cause immense and immediate damage and devastation.,We should fight for the abolition of nuclear weapons,train,1,0.999736433,1,1
A truly healthy and loving relationship can only develop in a monogamous relationship.,We should legalize polygamy,train,0.590797641,0.305894134,-1,1
a two party system provides discussion on different viewpoints,We should adopt a multi-party system,train,0.520030474,0.002641018,1,0.694710104
a two-party system has served us well for years; why change what has worked?,We should adopt a multi-party system,train,0.736529549,0.353406479,-1,0.81226793
a very high percentage of crashes are caused by distracted or drunk driving and with machines they can't be distracted or drunk,We should stop the development of autonomous cars,train,0.724949625,0.871796062,-1,0.901733268
"a view could be taken that where there is over population of whales, whaling could be beneficial to the eco system.",We should ban whaling,train,0.953560599,0.999889752,-1,0.928638126
"a vow of celibacy does nothing but cause issues inside religious groups, such as that of young boys and priests.",The vow of celibacy should be abandoned,train,0.839443468,0.691433546,1,1
a vow of celibacy is a difficult vow to keep and as such proves a real dedication. it should be up to an individual to decide if this is how they wish to show their beliefs.,The vow of celibacy should be abandoned,train,0.820317247,0.884512847,-1,0.70396107
a vow of celibacy is an archaic stricture that limits the freedoms of priests and harms their relationship with the world as they are less relatable to normal people and are suppressing their natural drives.,The vow of celibacy should be abandoned,train,1,0.930285572,1,0.906327725
a vow of celibacy is an individuals right as it affects no one but that person that makes the vow.,The vow of celibacy should be abandoned,train,0.680475333,0.298835325,-1,0.899696268
a vow of celibacy is necessary to the clergy so they can focus every bit of their lives to the church and to god without human distractions.,The vow of celibacy should be abandoned,train,0.787214236,0.577275147,-1,1
a vow of celibacy is so outdated it has no place in modern society,The vow of celibacy should be abandoned,train,0.852449471,0.33511638,1,1
a vow of celibacy only causes mental anguish and harm to a person,The vow of celibacy should be abandoned,train,0.820222011,0.961593885,1,1
a vow of celibacy strengthens a persons character and beliefs.,The vow of celibacy should be abandoned,train,0.923477951,0.958881381,-1,0.927041723
a well informed population is always better for the voting process and democracy. forcing populations to vote undermines the well of free people and should not be adopted.,We should introduce compulsory voting,train,0.75253655,0.481987608,-1,1
"A woman can and should decide on her own what to do with her body, and how she would like to use it. It's not the business of the government.",Surrogacy should be banned,train,0.725740366,0.890193165,-1,1
a woman giving birth to someone else's child will cause that child to grow up and not understand who their mother is.   it can lead to major depression and a very unhealthy lifestyle.,Surrogacy should be banned,train,0.901183309,0.879490855,1,1
a woman should be free to use her body how she sees fit to make money,Surrogacy should be banned,train,0.59525446,0.319684462,-1,1
a woman should have the right to sell her body in any way she deems acceptable.,We should legalize prostitution,train,0.795701183,0.369188044,1,0.887257565
a woman should have the right to use her body however she wants to support herself.,We should legalize prostitution,train,1,0.985553763,1,1
a woman that is okay with selling her body is going to do it anyway so might as well make it legal.,We should legalize prostitution,train,0.707295715,0.310396308,1,1
a woman's body is her choice and this includes the decision to assist couples in having a child.,Surrogacy should be banned,train,0.980004597,0.960060532,-1,1
A woman's body is her own and banning prostitution is just another way for the men in powerful positions to control our bodies.,We should legalize prostitution,train,0.872779559,0.977554622,1,1
A worker should not be forced to retire if he feels he can still adequately produce for his employer.,We should end mandatory retirement,train,0.936995958,0.95829419,1,0.691618905
"a year ago i did a survey in the school referring to this topic, and 25% of people tend to suffer this, it would be a good reason to legalize it because i reiterate we must all be happy.",We should legalize sex selection,train,0.057788792,1.10E-06,1,0.717411626
"a zoo brings animals to the people to see, learn and appreciate.  most zoos are in large cities where children do not get to see wildlife.  zoos help in the appreciation by people of all the species.",We should abolish zoos,train,0.800332243,0.814803503,-1,1
a zoo is a safe place for animals who lost their homes and are not able to care for themselves,We should abolish zoos,train,0.844799889,0.473841438,-1,1
a zoo provides care for animals that are separated from their families,We should abolish zoos,train,0.830527397,0.37120032,-1,0.907690944
a zoo takes an animal out of its natural environment and puts it in a cage.  it is not allowed to roam or to catch prey.  animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,train,0.888527845,0.964449706,1,1
a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,train,0.911454702,0.91272349,1,1
abandon marriage is wrong by so many means and violate our connection with god.,We should abandon marriage,train,0.21741686,0.008557616,-1,1
abandoning marriage allows for people to grow as themselves without the weight of a relationship,We should abandon marriage,train,1,0.6682181,1,1
Abandoning marriage means no ugly divorce battle if things don't work out.,We should abandon marriage,train,0.332464012,0.000181619,1,1
"abandoning television would encourage people to do other more beneficial activies such as reading, socialising, being outdoors and otherwise healthier pursuits.",We should abandon television,train,1,0.974311671,1,1
abandoning television would make people have to get up and get exercise.,We should abandon television,train,0.836727587,0.337463441,1,0.826717979
abandoning the vow goes against many people's religious beliefs,The vow of celibacy should be abandoned,train,0.60460772,0.004124835,-1,0.92902758
Abandoning the vow of celibacy could result in more people engaging in reckless sexual activity.,The vow of celibacy should be abandoned,train,0.737549477,0.166598831,-1,1
Abandoning weddings would offend many religious couples for whom the wedding is an important religious ceremony.,We should abandon marriage,train,0.845564466,0.713430633,-1,1
"Able students are afraid to continue education due to the prohibitive cost of loans, these students could be the answer to curing cancer etc. We need to ensure no one misses out because of cost.",We should subsidize student loans,train,0.787601713,0.701355796,1,1
abolish capital punishment so that we never put an innocent person to death,We should abolish capital punishment,train,0.84978868,0.619687052,1,1
"Abolishing capital punishment is impossible. It is mostly used today by dictatorial countries and religious monarchies, and they don't obey world norms and suggested human rights",We should abolish capital punishment,train,0.620735089,0.024445796,-1,0.895759423
"Abolishing capital punishment means the victims' families will pay their taxes to support offenders who ruined their and their loved ones'  lives. There is nothing merciful or humane in this; it is a sick, cruel joke.",We should abolish capital punishment,train,0.689006256,0.051385973,-1,1
Abolishing death penalty means abandoning the poor -who suffer the most from high crime rates -  only so that the elites could feel good about themselves.,We should abolish capital punishment,train,0.63442682,0.001999911,-1,0.928471509
abolishing intellectual property rights allows people to do great things.,We should abolish intellectual property rights,train,0.819656055,0.127449194,1,1
abolishing intellectual property rights ensures a fair shot for everybody.,We should abolish intellectual property rights,train,0.533393567,0.011734937,1,1
abolishing intellectual property rights is the wrong move.  people and businesses should be allowed to keep their ideas and products for themselves not freely give them to others to make money off of.,We should abolish intellectual property rights,train,0.860726931,0.751436817,-1,1
"abolishing intellectual property rights on pharmaceuticals will saves lives, making drugs more accessible.",We should abolish intellectual property rights,train,1,0.95439062,1,1
abolishing intellectual property rights removes the financial incentive to innovation.,We should abolish intellectual property rights,train,0.946259588,0.936704894,-1,0.698204142
abolishing intellectual property rights will give people more access to information,We should abolish intellectual property rights,train,0.848285533,0.885392181,1,1
abolishing intellectual property rights will help people to use everything what can find it useful without worry about copyrights.,We should abolish intellectual property rights,train,0.554003494,0.014920841,1,0.888116111
abolishing intellectual property rights would damage the economy since there would be less incentive to bring new and innovative products to market,We should abolish intellectual property rights,train,0.902038799,0.831139358,-1,1
Abolishing intellectual property rights would help promote creativity.,We should abolish intellectual property rights,train,0.827206857,0.32268728,1,1
Abolishing intellectual rights could allow someone to capitalize off another person's hard work.,We should abolish intellectual property rights,train,0.935381069,0.969521476,-1,0.901317235
abolishing ip rights would lead to a boon in innovation as people would be free to create without restrictions.,We should abolish intellectual property rights,train,0.910307052,0.929827926,1,1
Abolishing it will not prevent people from obtaining guns.,We should abolish the right to keep and bear arms,train,0.43347572,0.001989745,-1,0.892680717
Abolishing mandatory retirement can reduce welfare expenditure and increase self-reliance,We should end mandatory retirement,train,0.907162426,0.930074478,1,0.897684023
Abolishing mandatory retirement sends a strong message about the importance of ending age discrimination,We should end mandatory retirement,train,0.902970207,0.999831745,1,1
abolishing nuclear weapons is a good action to take. nuclear weapons are dangerous and could expose the planets to extreme destruction,We should fight for the abolition of nuclear weapons,train,0.764710046,0.660067023,1,1
Abolishing nuclear weapons is an unrealistic goal. The technology exists and it will be used.,We should fight for the abolition of nuclear weapons,train,0.657185845,0.219102064,-1,1
"Abolishing nuclear weapons is the only way to ensure that those weapons never fall in the hands of nefarious actors, such as terrorist organizations.",We should fight for the abolition of nuclear weapons,train,1,0.989029575,1,1
Abolishing nuclear weapons would be a first step toward world peace.,We should fight for the abolition of nuclear weapons,train,0.63135352,0.579231754,1,0.900011176
Abolishing nuclear weapons would benefit all of humanity.,We should fight for the abolition of nuclear weapons,train,0.816660287,0.432377189,1,1
"Abolishing nuclear weapons would diffuse existing tensions between a number of nuclear states, such as Israel and Iran, the USA and North Korea, and India and Pakistan.",We should fight for the abolition of nuclear weapons,train,0.89052682,0.931225112,1,0.896717742
abolishing nuclear weapons would put us at greater risk.,We should fight for the abolition of nuclear weapons,train,0.695537926,0.085440826,-1,0.816716606
abolishing safe places will put many people at risk of harm.,We should abolish safe spaces,train,0.795175808,0.33049822,-1,0.895929259
abolishing safe spaces has to be recognized because people who has such a problems already have support from institutions and doctors.,We should abolish safe spaces,train,0.567173297,0.019706761,1,0.789781137
abolishing safe spaces helps to get people out and about.,We should abolish safe spaces,train,0.358547491,6.82E-05,1,1
abolishing the right to keep and bear arms will remove a lot of guns off the street and keep people safer.,We should abolish the right to keep and bear arms,train,1,0.999329566,1,1
abolishing the right to keep and bear arms would put all innocent people at risk because people who want to kill will find a way to do so and innocent people will be defenseless,We should abolish the right to keep and bear arms,train,0.93849024,0.906423529,-1,1
abolishing the right to keep and bear arms would save lives and change the destructive gun culture that we see in some countries.,We should abolish the right to keep and bear arms,train,0.892913516,0.796682259,1,1
abolishing would lead to a drop in innovation and advancement because there would be no benefit to developing new ideas if they could be used by others without them having to do the  work.,We should abolish intellectual property rights,train,0.805101306,0.862070529,-1,1
"abolition is futile.  there will be some countries that refuse to comply, which will mean only terrorist counties will have these devestatingly destructive weapons",We should fight for the abolition of nuclear weapons,train,1,0.921300749,-1,0.928893363
abolition of nuclear weapons is an essential part of creating world peace. no nation should possess the power to entirely annihilate another with such long-term destructive weapons.,We should fight for the abolition of nuclear weapons,train,1,0.986298577,1,1
Absolute judgments may lead to people paying for crimes they did not commit,We should abolish capital punishment,train,0.900663164,0.91835502,1,1
absolutely not.  the great president donald trump is turning the country around and saving us from the financial disaster that the last eight years were leading the united states towards.,We should adopt an austerity regime,train,0.589193205,0.032580835,-1,0.928156328
absolutely supporting legalizing sex selection as some parents not able to have male or female kids so having a choice to choose the gender of next kid is absolutely amazing.,We should legalize sex selection,train,0.763665778,0.244205098,1,1
absolutely this should be illegal and punishable.,We should prohibit flag burning,train,0.139934678,1.32E-05,1,1
absolutely wrong to ban homeschooling because that helping kids to archive their success at school.,Homeschooling should be banned,train,0.541643538,0.005048092,-1,1
"abuse and bullying are rife among foster children
it does not provide stability just temporary solutions",Foster care brings more harm than good,train,1,0.908414259,1,1
academic education has been promoted at the expense of vocational education and this needs to be re-balanced by subsidizing vocational education.,We should subsidize vocational education,train,1,0.99864958,1,1
"acceptance into college and if jobs should be based on merit, not the race of the applicant. affirmative action perpetuates the very thing it's designed to fight.",We should end affirmative action,train,0.914625353,0.737488974,1,0.895458926
access to information is a crucial right for a voter in a democratic society,We should subsidize journalism,train,0.75837752,0.851375948,1,0.89326954
"Accidents due to causes like driver error, distracted driving, and intoxication, for example, would be eliminated if everyone had an autonomous car,",We should stop the development of autonomous cars,train,0.943004356,0.948604078,-1,1
"According to multiple studies, children who go through the foster care system are more likely to deal with mental health issues and disorders than their peers.",Foster care brings more harm than good,train,0.838271652,0.70130822,1,0.789003496
according to science there are two genders so the current language is sufficient,We should adopt gender-neutral language,train,0.629092671,0.137062265,-1,0.896478944
"According to the American Cancer Society, ""scientific evidence does not support claims that naturopathic medicine can cure cancer or any other disease"".",We should ban naturopathy,train,0.775846594,0.98020648,1,1
achieving high levels of education is positive for the nation,We should subsidize vocational education,train,0.440988325,0.000848856,1,0.404448486
acting at a young age not only gives a child the experience that is needed but it also gives them confidence as well as making money that they can use for later on in life,We should ban the use of child actors,train,0.683829979,0.421584836,-1,1
"acting can be a very prosperous career, and it would be a shame to take this option away if a child is truly willing to do it.",We should ban the use of child actors,train,0.881373013,0.897522225,-1,1
acting can be an amazing opportunity  for children which could potentially lead to a full career.,We should ban the use of child actors,train,0.919830269,0.987626351,-1,1
"acting exposes children to a variety of people and places, giving them valuable life experience they would not receive otherwise.",We should ban the use of child actors,train,0.876856723,0.826103597,-1,1
acting is an art and not a job so banning the use of children in acting roles is preventing children from exploring their creative ability in that area and should not be banned.,We should ban the use of child actors,train,1,0.877344025,-1,1
acting is an exhausting profession and deprives children of their childhood,We should ban the use of child actors,train,0.868527735,0.82324861,1,1
"acting is very trying. it places a huge strain on children, and many end up being abused or using drugs to escape the pressure.",We should ban the use of child actors,train,0.868210782,0.894871374,1,0.902886468
Acting may be a dream for a child and we do not want to crush their dreams.,We should ban the use of child actors,train,0.737549477,0.166598831,-1,1
acting on children in films with strong plots could generate traumas in the future,We should ban the use of child actors,train,0.46716579,0.008867886,1,1
acting puts too much pressure on children and they are too young to handle it,We should ban the use of child actors,train,0.88422158,0.785415612,1,1
acting takes away the opportunity for a child to be able to live their lives like a normal child,We should ban the use of child actors,train,0.730964432,0.078447131,1,1
acting takes children away from their education and normal childhood pursuits,We should ban the use of child actors,train,1,0.996702272,1,1
actingteach kids to adapt to changing situations.,We should ban the use of child actors,train,0.42306201,0.003780947,-1,0.7867549
activism often leads to corruption in the judicial system,We should limit judicial activism,train,1,0.999966704,1,1
activist judges are an important part of bringing about legislative change,We should limit judicial activism,train,0.984544371,0.926264604,-1,1
"activists judges aren't the ones shaping the laws. they're not ""all"" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments",We should limit judicial activism,train,0.876279838,0.041407103,1,1
acts that benefit the whole population must come before the individual.,We should oppose collectivism,train,0.764174702,0.391554824,-1,0.698831641
adapting such a practice will abolish the black market where such a trade takes place.,We should legalize organ trade,train,0.916772282,0.772343833,1,0.902467126
Administering lethal injection violates the Hippocratic oath of doctors.,We should abolish capital punishment,train,0.629759044,0.020405739,1,0.947685558
Adolescents are still trying to find their place in society. There is an incredible amount of pressure to fit in. Therefore they will feel pressured to choose cosmetic surgery in order to reach this acceptance.,We should ban cosmetic surgery for minors,train,0.871397733,0.896602813,1,0.896394836
Adolescents have a lot of hormonal changes happening. These fluctuations in hormones can cause rash and emotional decisions that are not rooted in careful consideration - which is vital when deciding to have a cosmetic procedure.,We should ban cosmetic surgery for minors,train,0.871397733,0.970433531,1,0.896394836
Adopt this language because it is inclusive and adapts to new generations.,We should adopt gender-neutral language,train,0.566332344,0.008530011,1,1
adopting a austerity regime can actually slow economic growth.,We should adopt an austerity regime,train,0.87173001,0.950309747,-1,0.896654657
adopting a gender neutral language enables us to speak to each other in a more compassionate and understanding way.,We should adopt gender-neutral language,train,1,0.99998031,1,1
adopting a gender neutral language may take away from ones identity. gender is part of a persons identity.,We should adopt gender-neutral language,train,1,0.977983514,-1,0.886208387
adopting a gender neutral language would help stop confusion on what to say.,We should adopt gender-neutral language,train,0.727316182,0.258478382,1,1
Adopting a gender -neutral language would not be controversial and would not offend anyone.,We should adopt gender-neutral language,train,0.437678022,0.003703784,1,0.912127334
"Adopting a gender neutral language would not be good in certain settings and situations, like a formal speech.",We should adopt gender-neutral language,train,0.468579727,0.020143237,-1,1
adopting a multi party system helps keep ideas fresh and gives us choices.,We should adopt a multi-party system,train,1,0.97511429,1,1
adopting a multi-party system leads to a more consensual style of poltics where broad cross party agreement is necessary to get things done,We should adopt a multi-party system,train,0.827270081,0.494481626,1,0.883820329
adopting a multi-party system leads to the formation weak and unstable coalition governments,We should adopt a multi-party system,train,0.765568225,0.284444492,-1,1
adopting a multi-party system would be good for the country.,We should adopt a multi-party system,train,0.524960875,0.005531774,1,1
adopting a multi-party system would require a costly overhaul to our entire political system and the consequences of such are unpredictable.,We should adopt a multi-party system,train,0.968682441,0.870759049,-1,1
"adopting a third and even fourth party may complicate the system such that the political system would require a complete overhaul, which would take a long time to get used to.",We should adopt a multi-party system,train,0.662967957,0.524188885,-1,1
adopting an austerity program will ultimately hurt us more by cutting funding on important programs and increasing our taxes.,We should adopt an austerity regime,train,1,0.90043273,-1,0.927685799
"adopting an austerity regime is necessary when our country is struggling, it is the only was to ensure a flourishing economy in the future. ending the debt ensures our country does not collapse.",We should adopt an austerity regime,train,1,0.996917279,1,1
adopting an austerity regime is the best way for the country to reduce its huge debt,We should adopt an austerity regime,train,0.879563388,0.926528257,1,1
adopting an austerity regime is the best way to pull ourselves out of the situation we currently find ourselves in financially,We should adopt an austerity regime,train,0.918515815,0.328583089,1,1
adopting an austerity regime is the best way to reduce the budget deficits we currently are faced with,We should adopt an austerity regime,train,1,0.965514411,1,1
adopting an austerity regime is the only effective means for pulling us out of the economic tailspin we currently face,We should adopt an austerity regime,train,0.863458267,0.666497747,1,0.885922008
Adopting an austerity regime lowers people's confidence in the economy and discourages investment.,We should adopt an austerity regime,train,0.882294725,0.984332327,-1,1
"adopting an austerity regime may negatively impact the demand side of the economy, hampering economic growth.",We should adopt an austerity regime,train,0.805170153,0.905379197,-1,1
adopting an austerity regime will have a negative effect as markets begin to question and doubt,We should adopt an austerity regime,train,0.860704568,0.484462257,-1,0.927534245
adopting an austerity regime would costs tax payers.,We should adopt an austerity regime,train,0.663820075,0.265724833,-1,1
"adopting an austerity regime would improve the country and lead to a flourishing economy after reducing out debt, which is greatly needed to continue being a world leader.",We should adopt an austerity regime,train,0.822166586,0.822576918,1,1
adopting an austerity regime would put undue burden on the taxpayers,We should adopt an austerity regime,train,1,0.849271727,-1,0.89817058
adopting an austerity regime would reduce government debt.,We should adopt an austerity regime,train,1,0.990715634,1,1
adopting austerity regime will have very negative impact on the poor and the vulnerable in society.,We should adopt an austerity regime,train,0.959591272,0.627811347,-1,1
adopting gender neutral language just so a few people that refuse to be associated with the gender of their birth just propogates a way of thinking that should not be allowed further thought.,We should adopt gender-neutral language,train,0.600661047,0.048165104,-1,0.903615018
adopting gender neutral language respects everyone's gender and may eliminate gender bias.,We should adopt gender-neutral language,train,1,0.994861343,1,1
adopting gender neutral language would be expensive and a waste of resources which could be better used elsewhere,We should adopt gender-neutral language,train,0.676650269,0.29040985,-1,1
adopting gender neutral language would make everyone feel welcome no matter how they identify and it hurts no one.,We should adopt gender-neutral language,train,0.92567684,0.999972111,1,1
adopting gender neutral language would make it easier to be inclusive.,We should adopt gender-neutral language,train,0.809642233,0.576779508,1,1
adopting gender-neutral language adds a lot of complexity to the language,We should adopt gender-neutral language,train,0.731501093,0.657131749,-1,0.794794902
adopting gender-neutral language helps the process of cultural change necessary for equality of the sexes,We should adopt gender-neutral language,train,1,0.966671494,1,1
adopting gender-neutral language ignores the depth and history of language. people are being overly sensitive if they are taking offence where this is none intended.,We should adopt gender-neutral language,train,0.807223433,0.767298666,-1,1
